_id,neighborhood_municipality,bivalent_booster
21596,Chartiers City (Pittsburgh),90
21597,Coraopolis,919
21598,Blawnox,316
21599,Bradford Woods,326
21600,North Fayette,2044
21601,Garfield (Pittsburgh),747
21602,Robinson,3103
21603,Forward,246
21604,Harrison,1742
21605,Sharpsburg,538
21606,Pine,3024
21607,Elizabeth Township,2163
21608,Polish Hill (Pittsburgh),295
21609,New Homestead (Pittsburgh),177
21610,Rankin,175
21611,Terrace Village (Pittsburgh),234
21612,Fairywood (Pittsburgh),163
21613,North Shore (Pittsburgh),61
21614,Fawn,290
21615,Mount Lebanon,10902
21616,Kennedy,1828
21617,East Liberty (Pittsburgh),1207
21618,Scott,3864
21619,Braddock Hills,363
21620,East Mckeesport,353
21621,Squirrel Hill South (Pittsburgh),5347
21622,Mt. Oliver (Pittsburgh),80
21623,Allentown (Pittsburgh),301
21624,Point Breeze (Pittsburgh),2458
21625,West Oakland (Pittsburgh),217
21626,White Oak,1490
21627,Lincoln Place (Pittsburgh),534
21628,Whitehall,3464
21629,Duquesne Heights (Pittsburgh),509
21630,North Braddock,563
21631,Stanton Heights (Pittsburgh),1318
21632,Liberty,370
21633,McKeesport,2151
21634,Hampton,4791
21635,Swissvale,1872
21636,Chateau (Pittsburgh),12
21637,Aspinwall,913
21638,Carrick (Pittsburgh),1405
21639,Marshall,1656
21640,Central Business District (Pittsburgh),902
21641,Spring Garden (Pittsburgh),135
21642,Troy Hill (Pittsburgh),552
21643,Duquesne,530
21644,Forest Hills,1953
21645,St. Clair (Pittsburgh),25
21646,Fineview (Pittsburgh),172
21647,Cheswick,438
21648,Dravosburg,256
21649,East Deer,247
21650,Green Tree,1203
21651,Avalon,921
21652,Bridgeville,854
21653,Glen Osborne,164
21654,Aleppo,384
21655,Etna,592
21656,Castle Shannon,1656
21657,Jefferson Hills,1994
21658,West Mifflin,3419
21659,Mount Oliver Borough,388
21660,Mcdonald,0
21661,Point Breeze North (Pittsburgh),587
21662,Wilkins,1484
21663,Bedford Dwellings (Pittsburgh),128
21664,Allegheny Center (Pittsburgh),244
21665,Oakmont,2020
21666,Brighton Heights (Pittsburgh),1440
21667,Perry South (Pittsburgh),612
21668,Findlay,998
21669,Oakdale,250
21670,Westwood (Pittsburgh),619
21671,Sewickley Heights,244
21672,Beltzhoover (Pittsburgh),221
21673,Port Vue,491
21674,Kilbuck,201
21675,Thornburg,136
21676,South Versailles,45
21677,Esplen (Pittsburgh),30
21678,West End (Pittsburgh),38
21679,Strip District (Pittsburgh),445
21680,Mckees rocks,639
21681,Arlington Heights (Pittsburgh),35
21682,West View,1296
21683,Fox Chapel,2006
21684,East Hills (Pittsburgh),346
21685,Windgap (Pittsburgh),263
21686,Reserve,745
21687,Greenfield (Pittsburgh),1963
21688,Verona,460
21689,Heidelberg,198
21690,Squirrel Hill North (Pittsburgh),3244
21691,Undefined (Pittsburgh),14
21692,Swisshelm Park (Pittsburgh),422
21693,Edgewood,1206
21694,Trafford,2
21695,Baldwin Borough,4233
21696,Munhall,1919
21697,Churchill,1061
